1 experiment: dV = 0.000000V; dT = 0.143 s 
2 experiment: dV = 0.207V; dT = 0.143 s 
3 experiment: dV = 0.207V; dT = 0.143 s 
4 experiment: dV = 0.155V; dT = 0.143 s 
5 experiment: dV = 0.155V; dT = 0.143 s 
6 experiment: dV = 0.104V; dT = 0.143 s 
7 experiment: dV = 0.207V; dT = 0.143 s 
8 experiment: dV = 0.104V; dT = 0.143 s 
9 experiment: dV = 0.104V; dT = 0.143 s 
10 experiment: dV = 0.155V; dT = 0.143 s 
11 experiment: dV = 0.052V; dT = 0.143 s 
12 experiment: dV = 0.104V; dT = 0.143 s 
13 experiment: dV = 0.104V; dT = 0.143 s 
14 experiment: dV = 0.104V; dT = 0.143 s 
15 experiment: dV = 0.052V; dT = 0.143 s 
16 experiment: dV = 0.052V; dT = 0.143 s 
17 experiment: dV = 0.104V; dT = 0.143 s 
18 experiment: dV = 0.052V; dT = 0.143 s 
19 experiment: dV = 0.052V; dT = 0.143 s 
20 experiment: dV = 0.052V; dT = 0.143 s 
21 experiment: dV = 0.052V; dT = 0.143 s 
22 experiment: dV = 0.052V; dT = 0.143 s 
23 experiment: dV = 0.052V; dT = 0.143 s 
24 experiment: dV = 0.000V; dT = 0.143 s 
25 experiment: dV = 0.052V; dT = 0.143 s 
26 experiment: dV = 0.052V; dT = 0.143 s 
27 experiment: dV = 0.000V; dT = 0.143 s 
28 experiment: dV = 0.052V; dT = 0.143 s 
29 experiment: dV = 0.026V; dT = 0.143 s 
30 experiment: dV = 0.026V; dT = 0.143 s 
31 experiment: dV = 0.026V; dT = 0.143 s 
32 experiment: dV = 0.026V; dT = 0.143 s 
33 experiment: dV = 0.026V; dT = 0.143 s 
34 experiment: dV = 0.026V; dT = 0.143 s 
35 experiment: dV = 0.000V; dT = 0.143 s 
36 experiment: dV = 0.000V; dT = 0.143 s 
37 experiment: dV = 0.026V; dT = 0.143 s 
38 experiment: dV = 0.026V; dT = 0.143 s 
39 experiment: dV = 0.000V; dT = 0.143 s 
40 experiment: dV = 0.026V; dT = 0.143 s 
41 experiment: dV = 0.000V; dT = 0.143 s 
42 experiment: dV = 0.026V; dT = 0.143 s 
43 experiment: dV = 0.000V; dT = 0.143 s 
44 experiment: dV = 0.026V; dT = 0.143 s 
45 experiment: dV = -0.207V; dT = 0.143 s 
46 experiment: dV = -0.104V; dT = 0.143 s 
47 experiment: dV = -0.207V; dT = 0.143 s 
48 experiment: dV = -0.104V; dT = 0.143 s 
49 experiment: dV = -0.207V; dT = 0.143 s 
50 experiment: dV = -0.104V; dT = 0.143 s 
51 experiment: dV = -0.104V; dT = 0.143 s 
52 experiment: dV = -0.155V; dT = 0.143 s 
53 experiment: dV = -0.104V; dT = 0.143 s 
54 experiment: dV = -0.104V; dT = 0.143 s 
55 experiment: dV = -0.052V; dT = 0.143 s 
56 experiment: dV = -0.155V; dT = 0.143 s 
57 experiment: dV = -0.052V; dT = 0.143 s 
58 experiment: dV = -0.104V; dT = 0.143 s 
59 experiment: dV = -0.104V; dT = 0.143 s 
60 experiment: dV = -0.052V; dT = 0.143 s 
61 experiment: dV = -0.052V; dT = 0.143 s 
62 experiment: dV = -0.104V; dT = 0.143 s 
63 experiment: dV = -0.052V; dT = 0.143 s 
64 experiment: dV = -0.052V; dT = 0.143 s 
65 experiment: dV = -0.052V; dT = 0.143 s 
66 experiment: dV = -0.052V; dT = 0.143 s 
67 experiment: dV = -0.052V; dT = 0.143 s 
68 experiment: dV = -0.052V; dT = 0.143 s 
69 experiment: dV = -0.026V; dT = 0.143 s 
70 experiment: dV = -0.052V; dT = 0.143 s 
71 experiment: dV = -0.026V; dT = 0.143 s 
72 experiment: dV = -0.052V; dT = 0.143 s 
73 experiment: dV = -0.026V; dT = 0.143 s 
74 experiment: dV = -0.026V; dT = 0.143 s 
75 experiment: dV = -0.052V; dT = 0.143 s 
76 experiment: dV = 0.000V; dT = 0.143 s 
77 experiment: dV = -0.052V; dT = 0.143 s 
78 experiment: dV = 0.000V; dT = 0.143 s 
79 experiment: dV = -0.026V; dT = 0.143 s 
80 experiment: dV = -0.026V; dT = 0.143 s 
81 experiment: dV = -0.026V; dT = 0.143 s 
82 experiment: dV = -0.026V; dT = 0.143 s 
83 experiment: dV = -0.026V; dT = 0.143 s 
84 experiment: dV = 0.000V; dT = 0.143 s 
85 experiment: dV = -0.026V; dT = 0.143 s 
86 experiment: dV = 0.000V; dT = 0.143 s 
87 experiment: dV = -0.026V; dT = 0.143 s 
88 experiment: dV = 0.000V; dT = 0.143 s 
89 experiment: dV = -0.026V; dT = 0.143 s 
90 experiment: dV = 0.000V; dT = 0.143 s 
91 experiment: dV = -0.026V; dT = 0.143 s 
92 experiment: dV = 0.000V; dT = 0.143 s 
93 experiment: dV = -0.026V; dT = 0.143 s 
94 experiment: dV = 0.000V; dT = 0.143 s 
95 experiment: dV = -0.026V; dT = 0.143 s 
96 experiment: dV = 0.000V; dT = 0.143 s 
97 experiment: dV = 0.000V; dT = 0.143 s 
98 experiment: dV = 0.000V; dT = 0.143 s 
99 experiment: dV = -0.026V; dT = 0.143 s 
100 experiment: dV = 0.000V; dT = 0.143 s 
101 experiment: dV = 0.000V; dT = 0.143 s 
102 experiment: dV = -0.026V; dT = 0.143 s 
103 experiment: dV = 0.000V; dT = 0.143 s 
104 experiment: dV = 0.000V; dT = 0.143 s 
105 experiment: dV = 0.000V; dT = 0.143 s 
106 experiment: dV = 0.000V; dT = 0.143 s 
107 experiment: dV = -0.026V; dT = 0.143 s 
